HID DATA,KEY MAPPED,BUTTON  MAPPED, extra configs
0713050100000000000029000001030400000001000000000000000000000000,Left click mouse,C1,
0713050100000000000029000001030400000004000000000000000000000000,Middle click mouse,C1,
0713050100000000000029000001030400000002000000000000000000000000,Right click mouse,C1,
0713050100000000000029000001030400000010000000000000000000000000,Mouse Button 4,C1,
0713050100000000000029000001030400000008000000000000000000000000,Mouse Button 5,C1,
0713050100000000000029000001030400000100000000000000000000000000,Scroll UP,C1,
071305010000000000002900000103040000ff00000000000000000000000000,Scroll  Down,C1,
0713050100000000000029000001020200290000000000000000000000000000,ESC,,
07130501000000000000290000010202003a0000000000000000000000000000,F1,,
07130501000000000000290000010202003b0000000000000000000000000000,F2,,
07130501000000000000290000010202003c0000000000000000000000000000,F3,,
07130501000000000000290000010202003d0000000000000000000000000000,F4,,
07130501000000000000290000010202003e0000000000000000000000000000,F5,,
07130501000000000000290000010202003f0000000000000000000000000000,F6,,
0713050100000000000029000001020200400000000000000000000000000000,F7,,
0713050100000000000029000001020200410000000000000000000000000000,F8,,
0713050100000000000029000001020200420000000000000000000000000000,F9,,
0713050100000000000029000001020200430000000000000000000000000000,F10,,
0713050100000000000029000001020200440000000000000000000000000000,F11,,
0713050100000000000029000001020200450000000000000000000000000000,F12,,
0713050100000000000029000001020200350000000000000000000000000000,~,,
07130501000000000000290000010202001e0000000000000000000000000000,1,,
07130501000000000000290000010202001f0000000000000000000000000000,2,,
0713050100000000000029000001020200200000000000000000000000000000,3,,
0713050100000000000029000001020200210000000000000000000000000000,4,,
0713050100000000000029000001020200220000000000000000000000000000,5,,
0713050100000000000029000001020200230000000000000000000000000000,6,,
0713050100000000000029000001020200240000000000000000000000000000,7,,
0713050100000000000029000001020200250000000000000000000000000000,8,,
0713050100000000000029000001020200260000000000000000000000000000,9,,
0713050100000000000029000001020200270000000000000000000000000000,0,,
07130501000000000000290000010202002d0000000000000000000000000000,-,,
07130501000000000000290000010202002e0000000000000000000000000000,+,,
07130501000000000000290000010202002a0000000000000000000000000000,backspace,,
07130501000000000000290000010202002b0000000000000000000000000000,tab,,
0713050100000000000029000001020200140000000000000000000000000000,q,,
07130501000000000000290000010202001a0000000000000000000000000000,w,,
0713050100000000000029000001020200080000000000000000000000000000,e,,
0713050100000000000029000001020200150000000000000000000000000000,r,,
0713050100000000000029000001020200170000000000000000000000000000,t,,
07130501000000000000290000010202001c0000000000000000000000000000,y,,
0713050100000000000029000001020200180000000000000000000000000000,u,,
07130501000000000000290000010202000c0000000000000000000000000000,i,,
0713050100000000000029000001020200120000000000000000000000000000,o,,
0713050100000000000029000001020200130000000000000000000000000000,p,,
07130501000000000000290000010202002f0000000000000000000000000000,[{,,
0713050100000000000029000001020200300000000000000000000000000000,}
